Exhibition,Description,Category,Medium,Admission,Date Range,Start Date,End Date,Place,Link,Address,Latitude,Longitude,Geocoordinates
Sacred Art in the Age of Contact: Chumash and Latin American Traditions in Santa Barbara ,"Highlighting themes of sacred geography, language, materiality, and resistance, this exhibition investigates the mutually transformative interaction between Chumash and Latin American cultures in Santa Barbara's history.


Sacred Art in the Age of Contact: Chumash and Latin American Traditions in Santa Barbara in the Age of Contact brings together, for the first time, a diverse body of objects from Santa Barbara area collections, many of which have never been on display, dating from the first decades following the Chumash’s first contact with the Spanish, c. 1769-1824. Together, these materials offer a fuller picture of the relationship between art and spirituality in both Chumash and Spanish traditions, and demonstrate the sustained deployment of Chumash visual systems by native artists in early colonial visual culture. Highlighting themes of sacred geography, language, materiality and resistance, Sacred Art investigates the mutually transformative interaction between these traditions, which have immediate implications on the ways in which the cultural dynamics of Santa Barbara County are understood today. The exhibition will be presented at two venues, the Art, Design & Architecture Museum and the Santa Barbara Historical Museum.",Pre-Hispanic to Colonial," Mixed Media, Painting, Sculpture ",Free,"September 16, 2017 - December 08, 2017 ",9/16/2017,12/8/2017,"Art, Design & Architecture Museum, UCSB","<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Sacred-Art-in-Age-of-Contact-UCSB"">Link to PST Site</a>","552 University Rd, Santa Barbara, CA 93106",34.4122366,-119.8490206,"34.4122366, -119.8490206"
Suzanne Lacy & Pablo Helguera,"

This exhibit juxtaposes key examples of the artists’ works in photography, installation, drawing, and performance, with themes of immigration, pedagogy, race, populism or social organizing, and theatricality.

Suzanne Lacy & Pablo Helguera pairs for the first time the work of two of the leading practitioners of the Public Practice movement. Suzanne Lacy, born in 1945 in Wasco, CA and based in Los Angeles, has played a key role in Public Practice since the 1970s, addressing political matters such as the women’s and civil rights movements through performance-based art that engaged the public and advocated for change or questioned societal norms. Pablo Helguera, born in 1971 in Mexico City and based in New York City, represents the next generation of socially engaged artists and is deeply influenced by Lacy. Through his performances, installations, exhibitions, and writings he addresses history, pedagogy, sociolinguistics, ethnography, and memory. This exhibition will juxtapose key examples of the artists’ works and incorporate installation, photography, drawing, and performance, alongside archival documentation which will serve to highlight overlapping themes in their practices including immigration, pedagogy, race, populism or social organizing, and theatricality. Following its presentation at the Art, Design, & Architecture Museum, UCSB, Suzanne Lacy & Pablo Helguera will travel to The 8th Floor, co-organizer of the exhibition, in New York.
",Art and Activism,,Free,"September 27, 2017 - December 08, 2017 ",9/27/2017,12/8/2017,"Art, Design & Architecture Museum, UCSB","<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Suzanne-Lacy-Pablo-Helguera"">Link to PST Site</a>","552 University Rd, Santa Barbara, CA 93106 ",34.4122366,-119.8490206,"34.4122366, -119.8490206"
Valeska Soares: Any Moment Now,"This major mid-career survey focuses on the artist’s more than 25-year exploration into ideas of time, narrative, memory, and the senses, demonstrated in her installations utilizing found and fabricated objects.


The Santa Barbara Museum of Art will organize a major mid-career survey of Brazilian-born, New York-based artist Valeska Soares. Trained as both an artist and architect, Soares creates unique environmental installations based on sensorial effects of reflection, light, entropy, and even scent. Valeska Soares: Any Moment Now will represent a more than 25-year span in the artist’s career, combining sculptures, photography, installations, and performances that integrate notions of time and memory, and conjure associations ranging from desire to excess. Soares’ work expands upon the languages of post-minimalist and conceptual art. Influenced early on by an older generation of Brazilian artists who turned their attention from the physical properties of an artwork to the perceptions and actions experienced by the viewer, she has continued to expand the boundaries of engagement. This mid-career survey will range from early assemblages and sculptures utilizing perfume and flowers, such as Pathologies (1994) and Fainting Couch (2002), to text-related works from her series Bindings (2008), to haunting marble sculptures from the series Et Aprés (2011), and to works not yet presented in the U.S., such as Unhinged (2016).",From Abstract to Conceptual Art,"Installation, Mixed Media",Ticketed,"September 17, 2017 - December 31, 2017",9/17/2017,12/31/2017,Santa Barbara Museum of Art,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Valeska-Soares-Santa-Barbara"">Link to PST Site</a>","1130 State Street 
Santa Barbara, CA",34.4234707,-119.7039262,"34.4234707, -119.7039262"
"Guatemala from 33,000 km: Contemporary Art, 1960–Present ","This exhibition explores a rich period of Guatemalan artistic production
 that began during the “long civil war” of the late 1950s and extends to
 the present day. ",Critiquing Globalism and Modernism,"Architecture & Design, Film & Video, Installation, Mixed Media, Painting, Performance, Photography, Prints & Drawing, Sculpture",Free,"September 17, 2017 - December 17, 2017",9/17/2017,12/17/2017,Museum of Contemporary Art Santa Barbara (MCASB),"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Guatemala-Contemporary-Art-1960-to-Present"">Link to PST Site</a>","653 Paseo Nuevo, Santa Barbara, CA
                            ",34.4186463,-119.7001178,"34.4186463, -119.7001178"
Sacred Art in the Age of Contact: Chumash and Latin American Traditions in Santa Barbara ,"Sacred Art in the Age of Contact: Chumash and Latin American Traditions in Santa Barbara brings together, for the first time, a diverse body of objects from Santa Barbara area collections, many of which have never been on display, dating from the first decades following the Chumash’s first contact with the Spanish, c. 1769-1824. Together, these materials offer a fuller picture of the relationship between art and spirituality in both Chumash and Spanish traditions, and demonstrate the sustained deployment of Chumash visual systems by native artists in early colonial visual culture. Highlighting themes of sacred geography, language, materiality and resistance, Sacred Art investigates the mutually transformative interaction between these traditions, which have immediate implications on the ways in which the cultural dynamics of Santa Barbara County are understood today. The exhibition will be presented at two venues, the Art, Design & Architecture Museum, UCSB and the Santa Barbara Historical Museum.",Pre-Hispanic to Colonial," Mixed Media, Painting, Sculpture ",Free,"September 14, 2017 - January 14, 2018 ",9/14/2017,1/14/2018,Santa Barbara Historical Museum ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Sacred-Art-in-the-Age-of-Contact"">Link to PST Site</a>","136 East De La Guerra
Santa Barbara, CA ",34.4215795,-119.6970483,"34.4215795, -119.6970483"
"Guatemala from 33,000 km: Contemporary Art, 1960–Present ","This exhibition explores a rich period of Guatemalan artistic production
 that began during the “long civil war” of the late 1950s and extends to
 the present day. ",Critiquing Globalism and Modernism,"Architecture & Design, Film & Video, Installation, Mixed Media, Painting, Performance, Photography, Prints & Drawing, Sculpture",Free,"September 17, 2017 - December 17, 2017",9/17/2017,12/17/2017,The Community Arts Workshop ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/guatemala-from-33,000-km-caw"">Link to PST Site</a>","631 Garden Street, Santa Barbara, CA
                            ",34.4214691,-119.6944494,"34.4214691, -119.6944494"
"Guatemala from 33,000 km: Contemporary Art, 1960–Present ","This is the first survey of modern and contemporary art from Guatemala, a rich period of artistic production that began during the “long civil war” of the late 1950s and extends to the present day.",Critiquing Globalism and Modernism,"Installation, Mixed Media, Painting, Photography, Prints & Drawing",Free,"September 17, 2017 - December 17, 2017 ",9/17/2017,12/17/2017,Westmont Ridley–Tree Museum of Art ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Contemporary-Art-from-1960-Present"">Link to PST Site</a>","966 La Paz Road Santa Barbara, CA",34.44918,-119.6588647,"34.44918, -119.6588647"
"The Latino Museum of History, Art, and Culture Revisited (1995-2000), featuring Vibiana Aparicio-Chamberlin, Oscar Castillo, and Leo Limón ","

Archival materials documenting the Latino Museum’s exhibition history, along with featured work by three visual artists, highlight LA's Chicano and Latino art and culture.

From 1995 to 2000, the Latino Museum of History, Art and Culture presented exhibitions and programs celebrating the historical, artistic, and cultural contributions of Latinos in the United States. Located in downtown Los Angeles, home to the largest concentration of Mexicans living outside of Mexico, the Latino Museum was the first major institution in Southern California to address this subject. Materials documenting the Latino Museum’s exhibition history are now housed in Unique and Special Collections at California State University Channel Islands. The Latino Museum , on view at the Broome Library Gallery, will comprise a selection of edited video interviews, graphic materials, print materials and ephemera, educating viewers about the history of Chicano and Latino art and culture in Los Angeles and about the cultural impact of the museum itself. Concurrently, the Napa Hall Gallery will present works by three artists who figure prominently in the Latino Museum archives: Vibiana Aparicio’s mixed media compositions, Oscar Castillo’s photographs and Leo Limón’s paintings.
",Definitions of Identity," Installation, Mixed Media, Murals, Painting, Performance, Photography, Prints & Drawing ",Free,"September 15, 2017 - November 17, 2017 ",9/15/2017,11/17/2017,"CSU Channel Islands, Broome Library and Napa Hall Gallery ","<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Latino-Museum-of-History"">Link to PST Site</a>","1 University Drive
Camarillo, CA ",34.1620556,-119.043463,"34.1620556, -119.043463"
The Great Wall of Los Angeles: Judith F. Baca\'s Experimentations in Collaboration and Concrete ,"

This exhibit tells the story of the influential 2,754-foot-long Great Wall of Los Angeles mural in the Tujunga Flood Control Channel and explores the history of Baca's innovation.

The Great Wall of Los Angeles is a 2,754 feet foot-long mural that runs along the concrete wall of the Tujunga Flood Control Channel in the heart of the San Fernando Valley. Conceived by artist Judith F. Baca in 1974, the mural depicts crucial moments in California, from its prehistory until the 1950s. CSUN’s University Galleries will present Experiments in Concrete and Collaboration: Judith F. Baca’s Reconfiguring of The Great Wall of Los Angeles after the Escuela Taller Siqueiros, an exhibition examining the largely unwritten history of Baca’s innovations alongside the methodologies that she developed as a result of her residency at the Escuela Taller Siqueiros, a workshop for muralism founded by the legendary Mexican artist David Alfaro Siqueiros. The exhibition will tell the story of The Great Wall of Los Angeles using preparatory drawings, paintings, photographs, and ephemera, drawn largely from the archives of Baca and the Social and Public Art Resource Center (SPARC), which oversees The Great Wall .
",Definitions of Identity,Murals,Free,"October 14, 2017 - December 16, 2017 ",10/14/2017,12/16/2017,CSU Northridge Art Galleries,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/The-Great-Wall"">Link to PST Site</a>","18111 Nordhoff Street Northridge, CA",34.237378,-118.5281711,"34.237378, -118.5281711"
" Another Promised Land: Anita Brenner’s Mexico

","

This is a new perspective on the art and visual culture of Mexico and its relationship to the United States as seen through the life and work of the Mexican-born, American Jewish writer Anita Brenner.

Another Promised Land: Anita Brenner’s Mexico at the Skirball Cultural Center offers a new perspective on the art and visual culture of Mexico and its relationship to the United States as seen through the life and work of the Mexican-born, Jewish-American writer Anita Brenner (1905–1974). Brenner was an integral part of the circle of Mexican modernists in the 1920s and played an important role in promoting and translating Mexican art, culture, and history for audiences in the U.S. Brenner was close to the leading intellectuals and artists active in Mexico, including José Clemente Orozco, Frida Kahlo, Diego Rivera, David Alfaro Siqueiros, Jean Charlot, and Tina Modotti. An influential and prolific writer on Mexican culture, Brenner is best known for her book Idols Behind Altars: Modern Mexican Art and Its Cultural Roots (1929). The Skirball’s exhibition will provide an immersive experience of historic discovery and underscore Brenner’s importance as a Jewish woman in Mexico who inspired artists and was instrumental in introducing the North American public to Mexican history and culture.
",Definitions of Identity," Film & Video, Mixed Media, Murals, Painting, Photography, Prints & Drawing, Sculpture




",Ticketed,"September 14, 2017 - February 25, 2018 ",9/14/2017,2/25/2018,Skirball Cultural Center ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Another-Promised-Land-Anita-Brenner-Mexico"">Link to PST Site</a>","2701 N Sepulveda Boulevard
Los Angeles, CA",34.124175,-118.479117,"34.124175, -118.479117"
